,Año,Trimestre,Provincia,Accesos por cada 100 hogares,acceso_actual,nuevo_acceso,KPI
550,2018,4,Tierra Del Fuego,94.0,94.0,93.0,-1.06
526,2019,1,Tierra Del Fuego,93.0,93.0,95.0,2.15
502,2019,2,Tierra Del Fuego,95.0,95.0,96.0,1.05
478,2019,3,Tierra Del Fuego,96.0,96.0,80.0,-16.67
454,2019,4,Tierra Del Fuego,80.0,80.0,76.0,-5.0
430,2020,1,Tierra Del Fuego,76.0,76.0,76.0,0.0
406,2020,2,Tierra Del Fuego,76.0,76.0,77.0,1.32
382,2020,3,Tierra Del Fuego,77.0,77.0,76.0,-1.3
358,2020,4,Tierra Del Fuego,76.0,76.0,77.0,1.32
334,2021,1,Tierra Del Fuego,77.0,77.0,68.0,-11.69
310,2021,2,Tierra Del Fuego,68.0,68.0,95.0,39.71
286,2021,3,Tierra Del Fuego,95.0,95.0,98.0,3.16
262,2021,4,Tierra Del Fuego,98.0,98.0,98.0,0.0
238,2022,1,Tierra Del Fuego,98.0,98.0,100.0,2.04
214,2022,2,Tierra Del Fuego,100.0,100.0,100.0,0.0
190,2022,3,Tierra Del Fuego,100.0,100.0,101.0,1.0
166,2022,4,Tierra Del Fuego,101.0,101.0,104.0,2.97
142,2023,1,Tierra Del Fuego,104.0,104.0,106.0,1.92
118,2023,2,Tierra Del Fuego,106.0,106.0,106.0,0.0
94,2023,3,Tierra Del Fuego,106.0,106.0,110.0,3.77
70,2023,4,Tierra Del Fuego,110.0,110.0,110.0,0.0
46,2024,1,Tierra Del Fuego,110.0,110.0,109.0,-0.91
983,2014,2,Tucumán,34.0,34.0,34.0,0.0
959,2014,3,Tucumán,34.0,34.0,35.0,2.94
935,2014,4,Tucumán,35.0,35.0,35.0,0.0
911,2015,1,Tucumán,35.0,35.0,36.0,2.86
887,2015,2,Tucumán,36.0,36.0,37.0,2.78
863,2015,3,Tucumán,37.0,37.0,37.0,0.0
839,2015,4,Tucumán,37.0,37.0,37.0,0.0
815,2016,1,Tucumán,37.0,37.0,37.0,0.0
791,2016,2,Tucumán,37.0,37.0,38.0,2.7
767,2016,3,Tucumán,38.0,38.0,38.0,0.0
743,2016,4,Tucumán,38.0,38.0,38.0,0.0
719,2017,1,Tucumán,38.0,38.0,38.0,0.0
695,2017,2,Tucumán,38.0,38.0,40.0,5.26
671,2017,3,Tucumán,40.0,40.0,40.0,0.0
647,2017,4,Tucumán,40.0,40.0,41.0,2.5
623,2018,1,Tucumán,41.0,41.0,42.0,2.44
599,2018,2,Tucumán,42.0,42.0,42.0,0.0
575,2018,3,Tucumán,42.0,42.0,42.0,0.0
551,2018,4,Tucumán,42.0,42.0,42.0,0.0
527,2019,1,Tucumán,42.0,42.0,40.0,-4.76
503,2019,2,Tucumán,40.0,40.0,39.0,-2.5
479,2019,3,Tucumán,39.0,39.0,48.0,23.08
455,2019,4,Tucumán,48.0,48.0,48.0,0.0
431,2020,1,Tucumán,48.0,48.0,52.0,8.33
407,2020,2,Tucumán,52.0,52.0,53.0,1.92
383,2020,3,Tucumán,53.0,53.0,55.0,3.77
359,2020,4,Tucumán,55.0,55.0,55.0,0.0
335,2021,1,Tucumán,55.0,55.0,55.0,0.0
311,2021,2,Tucumán,55.0,55.0,55.0,0.0
287,2021,3,Tucumán,55.0,55.0,56.0,1.82
263,2021,4,Tucumán,56.0,56.0,57.0,1.79
239,2022,1,Tucumán,57.0,57.0,59.0,3.51
215,2022,2,Tucumán,59.0,59.0,61.0,3.39
191,2022,3,Tucumán,61.0,61.0,61.0,0.0
167,2022,4,Tucumán,61.0,61.0,60.0,-1.64
143,2023,1,Tucumán,60.0,60.0,61.0,1.67
119,2023,2,Tucumán,61.0,61.0,61.0,0.0
95,2023,3,Tucumán,61.0,61.0,61.0,0.0
71,2023,4,Tucumán,61.0,61.0,60.0,-1.64
47,2024,1,Tucumán,60.0,60.0,61.0,1.67
